nom;type;date;heure;rythme;jours;semaine_rotation;canal;message;image_url;texte_bouton;lien_bouton;question;reponses;bonnes_reponses;explication;anonyme;choix_multiples;silencieux;actif;tous_les_canaux;canaux
Londres — mardi pédagogique;message;11/08/2026;09:00;unique;;;@BECTANSE_ACADEMIE;"🇬🇧 *SESSION LONDRES*

Ce matin, pose-toi cette question avant chaque entrée : combien suis-je réellement prêt à perdre sans changer de comportement ?

Si tu n’as pas la réponse, ta taille de position n’est pas encore maîtrisée.

On observe. On calcule. Puis seulement, on décide.";https://acces.bectanse-academie.com/static/telegram-visuals/01-session-londres-ouverte-v2.webp;VOIR LE PLAN LONDRES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Quiz ratio risque/rendement;quiz;11/08/2026;10:00;unique;;;@BECTANSE_ACADEMIE;;;APPROFONDIR AVEC BECTANSE;https://acces.bectanse-academie.com/;Tu risques 50 € pour viser un gain potentiel de 100 €. Quel est le ratio risque/rendement ?;1:1|1:2|2:1|1:3;2;Tu risques une unité pour un gain potentiel de deux unités : le ratio est 1:2. Cela ne garantit pas le résultat.;oui;non;non;oui;oui;
Analyse — risque avant direction;message;11/08/2026;11:00;unique;;;@BECTANSE_ACADEMIE;"📐 *L’ENTRÉE N’EST PAS LA PREMIÈRE QUESTION*

Commence par le niveau qui invalide ton idée. Il détermine ton risque, ta taille et parfois la décision de ne pas intervenir.

Les éléments disponibles aujourd’hui sont regroupés dans ton espace.";;ACCÉDER À L’ANALYSE;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Préparation des scénarios — mardi;message;11/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"⏱ *AVANT LES PREMIERS SCÉNARIOS*

Vérifie trois choses : ton risque maximal, ton niveau d’invalidation et le nombre de positions déjà ouvertes.

Une alerte n’efface jamais les règles de gestion du risque.

Les membres peuvent rejoindre l’espace avant la prochaine mise à jour.";https://acces.bectanse-academie.com/static/telegram-visuals/07-derniere-alerte-disponible-v2.webp;OUVRIR LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Pré-session US — mardi;message;11/08/2026;14:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *SESSION US DANS 30 MINUTES*

Le marché va peut-être accélérer. Toi, tu n’as pas besoin d’accélérer avec lui.

Garde ton risque fixe, attends ton contexte et refuse toute entrée que tu ne saurais pas expliquer en une phrase.

On se retrouve à 15:00, lucides et préparés.";https://acces.bectanse-academie.com/static/telegram-visuals/02-session-americaine-t30-v2.webp;PRÉPARER LA SESSION US;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Session US Bectanse — mardi;message;11/08/2026;15:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *LE DESK US EST EN PLACE*

Lecture du contexte.
Attente de la confirmation.
Risque défini.

Trois étapes simples. Le plus difficile est de ne pas les raccourcir.

Reste concentré. 🔥";;REJOINDRE LE DESK US;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Alertes et taille de position;message;11/08/2026;16:00;unique;;;@BECTANSE_ACADEMIE;"🚨 *UNE ALERTE N’EST PAS UNE TAILLE DE POSITION*

Deux traders peuvent observer le même scénario et prendre un risque différent selon leur capital et leur plan.

Vérifie les dernières mises à jour, puis applique ta propre limite de risque.";https://acces.bectanse-academie.com/static/telegram-visuals/07-derniere-alerte-disponible-v2.webp;OUVRIR LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
L’information ne suffit pas;message;11/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"🧠 *JE VAIS TE DIRE CE QUI BLOQUE BEAUCOUP DE TRADERS*

Ce n’est pas le manque d’informations. C’est l’absence d’un processus assez clair pour être appliqué quand l’émotion monte.

Préparer, filtrer, exécuter, revoir : c’est ce cadre que nous travaillons chaque jour chez Bectanse.

Si tu veux avancer avec une méthode et une équipe, l’espace est ouvert.";;DÉCOUVRIR L’ACCOMPAGNEMENT;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Mercredi sous contrôle;message;12/08/2026;00:00;unique;;;@BECTANSE_ACADEMIE;"🌙 *DEMAIN, LA PATIENCE SERA UN AVANTAGE*

Une statistique d’inflation américaine est programmée à 14:30, heure de Paris.

Ne prépare pas une prédiction. Prépare ta réaction : risque réduit, scénario clair, aucune poursuite impulsive.

Repose-toi. On se retrouve à 09:00.";;PRÉPARER LA JOURNÉE MACRO;https://acces.bectanse-academie.com/;;;;;oui;non;oui;oui;oui;
Londres — mercredi de patience;message;12/08/2026;09:00;unique;;;@BECTANSE_ACADEMIE;"🇬🇧 *LONDRES EST OUVERTE*

Le vrai défi aujourd’hui ne sera peut-être pas de trouver une entrée.

Ce sera d’attendre quand les conditions ne sont pas encore réunies.

L’IPC américain est attendu à 14:30. Garde du capital mental pour l’après-midi.";https://acces.bectanse-academie.com/static/telegram-visuals/01-session-londres-ouverte-v2.webp;VOIR LE PLAN LONDRES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Quiz anti-FOMO;quiz;12/08/2026;10:00;unique;;;@BECTANSE_ACADEMIE;;;APPROFONDIR AVEC BECTANSE;https://acces.bectanse-academie.com/;Le prix part sans toi et l’envie de courir après le mouvement monte. Quelle est la meilleure première action ?;Entrer immédiatement|Revenir au plan et attendre un nouveau scénario|Doubler la taille|Supprimer le stop;2;Revenir au plan évite une décision dictée par le FOMO. Un mouvement raté n’oblige jamais à improviser.;oui;non;non;oui;oui;
Analyse avant l’IPC;message;12/08/2026;11:00;unique;;;@BECTANSE_ACADEMIE;"📊 *AVANT 14:30 : CARTOGRAPHIE, PAS PRÉDICTION*

Identifie les niveaux où la liquidité peut se concentrer. Prépare un scénario haussier, un scénario baissier et une zone où tu refuses d’agir.

Retrouve les éléments de préparation disponibles dans ton espace.";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Avant l’annonce, protéger le capital;message;12/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"⚠️ *AVANT LA VOLATILITÉ*

L’IPC américain est programmé à 14:30, heure de Paris.

Évite les positions prises par impatience. Vérifie ton exposition et décide maintenant de ton risque maximal.

La prochaine mise à jour sera visible dans l’espace membres.";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Compte à rebours IPC;message;12/08/2026;14:00;unique;;;@BECTANSE_ACADEMIE;"⏳ *IPC US DANS 30 MINUTES*

À 14:30, la publication de l’inflation américaine peut accélérer plusieurs marchés.

Ne confonds pas vitesse et opportunité.

Attends la donnée, observe la réaction et refuse de poursuivre une bougie sans scénario.";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Après l’IPC — revenir au plan;message;12/08/2026;15:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *SESSION US BECTANSE*

La statistique est sortie. Maintenant, oublie l’envie d’avoir raison.

Observe ce que le prix confirme réellement. Si ton niveau est déjà loin, laisse partir le mouvement.

Protéger son capital, c’est aussi savoir ne pas poursuivre.";;REJOINDRE LE DESK US;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Alertes après volatilité;message;12/08/2026;16:00;unique;;;@BECTANSE_ACADEMIE;"🔔 *LE MARCHÉ A BOUGÉ. LE PLAN A-T-IL CONFIRMÉ ?*

Une accélération ne suffit pas. Il faut encore un contexte, une invalidation et un risque cohérent.

Consulte l’espace pour vérifier si une alerte exploitable a été publiée après la réaction.";https://acces.bectanse-academie.com/static/telegram-visuals/07-derniere-alerte-disponible-v2.webp;OUVRIR LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Le calme est une compétence;message;12/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"🌙 *LE CALME SE TRAVAILLE*

Je ne te demande pas de ne rien ressentir. Je te demande de préparer des règles assez claires pour ne pas laisser l’émotion décider à ta place.

Quand le marché accélère, ton plan doit parler plus fort que ton envie d’agir.

Si tu veux construire ce réflexe avec nous, rejoins l’équipe.";;TRAVAILLER AVEC L’ÉQUIPE;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Transition vers le jeudi technique;message;13/08/2026;00:00;unique;;;@BECTANSE_ACADEMIE;"🌙 *DEMAIN, ON MONTE D’UN NIVEAU*

Le marché ne récompense pas le vocabulaire compliqué. Il récompense les décisions cohérentes.

Jeudi, on travaille la confirmation, le rejet et l’invalidation.

Une nouvelle statistique de prix américaine est attendue à 14:30. Repose-toi et arrive avec un plan.";;PRÉPARER MON PLAN;https://acces.bectanse-academie.com/;;;;;oui;non;oui;oui;oui;
Londres — jeudi expertise;message;13/08/2026;09:00;unique;;;@BECTANSE_ACADEMIE;"🇬🇧 *LONDRES EST EN MOUVEMENT*

Aujourd’hui, observe la manière dont le prix quitte un niveau — puis surtout la manière dont il y revient.

Une cassure sans acceptation peut devenir un piège.

Lis la clôture, le contexte et l’invalidation. Pas seulement la mèche.";https://acces.bectanse-academie.com/static/telegram-visuals/01-session-londres-ouverte-v2.webp;VOIR LE PLAN LONDRES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Quiz lecture de cassure;quiz;13/08/2026;10:00;unique;;;@BECTANSE_ACADEMIE;;;APPROFONDIR AVEC BECTANSE;https://acces.bectanse-academie.com/;Le prix dépasse une résistance puis clôture rapidement sous le niveau. Quelle lecture est la plus rigoureuse ?;Cassure confirmée|Achat automatique|Rejet possible à confirmer|Le niveau n’a plus aucune importance;3;Le retour sous le niveau suggère un rejet possible, mais le contexte et une confirmation restent nécessaires avant toute décision.;oui;non;non;oui;oui;
Analyse — confirmation et invalidation;message;13/08/2026;11:00;unique;;;@BECTANSE_ACADEMIE;"📊 *UN BON SCÉNARIO PEUT ÊTRE INVALIDÉ*

S’il n’existe aucun niveau précis qui te prouve que ton idée est fausse, ce n’est pas encore un scénario exploitable.

Travaille aujourd’hui la confirmation, l’invalidation et le rapport risque/rendement.

Les mises à jour sont disponibles dans ton espace.";;OUVRIR L’ANALYSE;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Préparation PPI et scénarios;message;13/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"🚨 *PRÉPARE, NE DEVINE PAS*

Le PPI américain est programmé à 14:30, heure de Paris.

Prépare les niveaux qui comptent, puis laisse la donnée et le prix révéler le scénario.

Les membres peuvent rejoindre la session avant la prochaine mise à jour.";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Compte à rebours PPI;message;13/08/2026;14:00;unique;;;@BECTANSE_ACADEMIE;"⏳ *PPI US DANS 30 MINUTES*

La publication des prix à la production peut modifier rapidement le rythme du marché.

Pas de prédiction. Pas de position surdimensionnée. Pas de poursuite aveugle.

Observe la réaction avant d’interpréter.";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Session US Bectanse — jeudi;message;13/08/2026;15:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *LE DESK US EST OUVERT*

La première impulsion est passée. Le travail commence maintenant : le prix accepte-t-il les nouveaux niveaux ou les rejette-t-il ?

Ne transforme pas une réaction en certitude.

On reste méthodiques. 🎯";;REJOINDRE LE DESK US;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Vérification des opportunités — jeudi;message;13/08/2026;16:00;unique;;;@BECTANSE_ACADEMIE;"🔎 *MOUVEMENT OU OPPORTUNITÉ ?*

La différence se trouve dans la confirmation, l’invalidation et le risque acceptable.

Vérifie dans l’espace si une configuration répond à ces trois conditions aujourd’hui.";https://acces.bectanse-academie.com/static/telegram-visuals/07-derniere-alerte-disponible-v2.webp;OUVRIR LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Monter en compétence;message;13/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"🌙 *TU N’AS PAS BESOIN DE TOUT PRÉDIRE*

Tu as besoin d’un processus qui te dit quoi observer, quand attendre et où ton scénario devient invalide.

Si tu veux travailler avec davantage de structure et suivre les analyses de l’équipe, l’accès est ouvert.";;MONTER EN COMPÉTENCE;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Dernière session, même exigence;message;14/08/2026;00:00;unique;;;@BECTANSE_ACADEMIE;"🌙 *ÉCOUTE BIEN AVANT VENDREDI*

Tu n’as rien à prouver au marché. Ne force pas un dernier trade pour sauver ou embellir ta semaine.

Demain, ton seul objectif est de respecter ton plan une fois de plus. Si aucun scénario n’est propre, ne pas trader sera une exécution parfaite.

Rendez-vous à 09:00.";;PRÉPARER MA SESSION;https://acces.bectanse-academie.com/;;;;;oui;non;oui;oui;oui;
Londres — vendredi de maîtrise;message;14/08/2026;09:00;unique;;;@BECTANSE_ACADEMIE;"🇬🇧 *LONDRES EST OUVERTE*

Dernière session de la semaine.

Si ton scénario n’est pas clair, ton meilleur résultat peut être de conserver ton capital et ta discipline.

On ne force pas une conclusion. On exécute le plan.";https://acces.bectanse-academie.com/static/telegram-visuals/01-session-londres-ouverte-v2.webp;VOIR LE PLAN LONDRES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Sondage bilan de la semaine;sondage;14/08/2026;10:00;unique;;;@BECTANSE_ACADEMIE;;;PROGRESSER AVEC BECTANSE;https://acces.bectanse-academie.com/;Cette semaine, quel comportement t’a le plus freiné ?;Entrer trop tôt|Sortir trop tôt|Surtrader|Manquer de discipline;;;oui;non;non;oui;oui;
Analyse — finir proprement;message;14/08/2026;11:00;unique;;;@BECTANSE_ACADEMIE;"📊 *FINIR PROPREMENT VAUT PLUS QUE FINIR EN FORCE*

Avant la session US, vérifie ton exposition, ton risque cumulé et les décisions déjà prises cette semaine.

L’analyse du jour doit servir ton plan — pas ton envie de te refaire.

Retrouve les éléments disponibles dans ton espace.";;VOIR L’ANALYSE DU JOUR;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Avant les ventes au détail US;message;14/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"⚠️ *LE RENDEZ-VOUS MACRO DE L’APRÈS-MIDI*

Les ventes au détail américaines sont programmées à 14:30, heure de Paris.

La donnée peut influencer les anticipations sur l’activité, mais elle ne donne jamais à elle seule une direction certaine.

Prépare ton risque avant la publication.";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Compte à rebours ventes au détail;message;14/08/2026;14:00;unique;;;@BECTANSE_ACADEMIE;"⏳ *VENTES AU DÉTAIL US DANS 30 MINUTES*

Dernière statistique majeure de notre semaine éditoriale.

Ne laisse pas trente secondes de volatilité effacer cinq jours de discipline.

Réduis l’impulsivité. Observe d’abord.";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Session US Bectanse — vendredi;message;14/08/2026;15:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *DERNIÈRE SESSION US DE LA SEMAINE*

Le marché a reçu sa donnée. Toi, garde tes règles.

Une configuration propre mérite une analyse. Une configuration moyenne mérite d’être ignorée.

Finissons la semaine avec maîtrise. 🔥";;REJOINDRE LE DESK US;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Dernier point alertes;message;14/08/2026;16:00;unique;;;@BECTANSE_ACADEMIE;"🔔 *DERNIER POINT ALERTES*

Vérifie les mises à jour disponibles et assure-toi que toute décision reste compatible avec ton risque de fin de semaine.

S’il n’y a rien de propre, terminer sans nouveau trade est aussi une décision professionnelle.";https://acces.bectanse-academie.com/static/telegram-visuals/07-derniere-alerte-disponible-v2.webp;OUVRIR LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Le vrai résultat de la semaine;message;14/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"📝 *JE NE VEUX PAS SEULEMENT VOIR TON P&L*

Dis-moi plutôt : as-tu respecté ton risque ? Évité un trade impulsif ? Documenté une erreur au lieu de la cacher ?

C’est là que se construit la progression durable : dans la qualité des décisions répétées.

Si tu veux installer ce processus avec l’équipe, viens faire ton bilan avec nous.";https://acces.bectanse-academie.com/static/telegram-visuals/04-resultat-de-la-journee-v2.webp;FAIRE MON BILAN;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Sondage respect du plan;sondage;15/08/2026;10:00;unique;;;@BECTANSE_ACADEMIE;;;PROGRESSER AVEC BECTANSE;https://acces.bectanse-academie.com/;Sur combien de jours as-tu réellement respecté ton plan cette semaine ?;0 à 1 jour|2 à 3 jours|4 jours|Les 5 jours;;;oui;non;non;oui;oui;
La revue en quatre questions;message;15/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"📓 *TA REVUE EN 4 QUESTIONS*

1. Quelle décision était parfaitement conforme au plan ?
2. Quelle erreur s’est répétée ?
3. À quel moment l’émotion a pris le dessus ?
4. Quelle règle sera non négociable lundi ?

Écris les réponses. Une semaine non revue risque de devenir une semaine répétée.";https://acces.bectanse-academie.com/static/telegram-visuals/04-resultat-de-la-journee-v2.webp;FAIRE MON BILAN;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Ne compare pas ton chapitre;message;15/08/2026;17:00;unique;;;@BECTANSE_ACADEMIE;"🧠 *JE VEUX TE RAPPELER UNE CHOSE IMPORTANTE*

Les captures des autres ne montrent ni leur risque, ni leurs pertes, ni les erreurs commises avant le résultat.

Compare ton exécution à ton propre plan. C’est la seule comparaison capable d’améliorer ta prochaine semaine.

Aujourd’hui, prends du recul et reviens à l’essentiel.";;REVENIR À L’ESSENTIEL;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Demain, on prépare;message;15/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"🌙 *CE SOIR, ON COUPE. DEMAIN, ON PRÉPARE.*

Profite du recul du week-end.

Dimanche, on construira la checklist, les rendez-vous économiques et le plan mental de la nouvelle semaine.

Reviens avec une page blanche et l’envie d’être plus précis.";;PRÉPARER LA PROCHAINE SEMAINE;https://acces.bectanse-academie.com/;;;;;oui;non;oui;oui;oui;
Bon dimanche — récupération active;message;16/08/2026;09:30;unique;;;@BECTANSE_ACADEMIE;"☀️ *BON DIMANCHE L’ÉQUIPE*

Profite de ta matinée. Coupe un peu, respire et prends du recul : le repos fait aussi partie du métier.

Puis reviens avec une question simple : quelle règle rendra ma prochaine semaine plus propre que la précédente ?

Cet après-midi, on prépare la suite ensemble.";;PRÉPARER LA SEMAINE AVEC NOUS;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Combien de semaines vas-tu repousser ?;message;16/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"⏳ *JE VAIS ÊTRE FRANC AVEC TOI*

Tu connais déjà les mots : patience, risque, discipline, journal. Mais lesquels appliques-tu vraiment quand personne ne te regarde ?

Tu n’as peut-être pas besoin d’une stratégie de plus. Tu as peut-être besoin d’un cadre, d’un suivi et d’une équipe qui t’aide à rester constant.

Si tu es prêt à arrêter de repousser, commence aujourd’hui.";;PASSER À L’ACTION;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Checklist et rendez-vous vérifiés;message;16/08/2026;16:00;unique;;;@BECTANSE_ACADEMIE;"📅 *3 RENDEZ-VOUS À NOTER CETTE SEMAINE*

🇺🇸 Mercredi 14:30 — IPC américain de juillet
🇺🇸 Jeudi 14:30 — Prix à la production de juillet
🇺🇸 Vendredi 14:30 — Ventes au détail de juillet

Heures de Paris, d’après les calendriers officiels BLS et U.S. Census consultés.

Prépare des scénarios, réduis l’exposition si nécessaire et ne prédis jamais un chiffre avant sa publication.

_Le calendrier indique un timing, pas la direction future du marché._";https://acces.bectanse-academie.com/static/telegram-visuals/03-annonce-economique-majeure-v2.webp;VOIR LE CALENDRIER;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Demain, tout recommence;message;16/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"🔥 *DEMAIN, JE VEUX TE RETROUVER PRÊT*

À 08:30, l’agenda économique vérifié. À 09:00, la session Londres. Puis les quiz, les analyses, les scénarios et les alertes de l’équipe.

Tu peux encore regarder la semaine commencer de l’extérieur.

Ou entrer ce soir avec un plan clair et une équipe à retrouver chaque jour.";;REJOINDRE BECTANSE;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Compte à rebours nouvelle semaine;message;16/08/2026;23:30;unique;;;@BECTANSE_ACADEMIE;"⏳ *PLUS QUE 30 MINUTES*

Dans 30 minutes, une nouvelle semaine commence.

La question n’est pas de savoir si le marché offrira du mouvement.

La question est de savoir si tu arriveras avec des règles assez claires pour ne pas agir au hasard.

À minuit, on repart. Rendez-vous demain à 09:00. 🔥";;ÊTRE PRÊT POUR DEMAIN;https://acces.bectanse-academie.com/;;;;;oui;non;oui;oui;oui;
